movie_id,person_id,name,character,image_url,cast_number
285,118,Geoffrey Rush,Captain Hector Barbossa,https://image.tmdb.org/t/p/w500//4zQuC1j0p7HkJlfuT8aJoyZAgQm.jpg,6
285,1709,Jack Davenport,Admiral James Norrington,https://image.tmdb.org/t/p/w500//shGH0YWJBfiJznidS0f2ZfN056c.jpg,7
285,2449,Kevin McNally,Joshamee Gibbs,https://image.tmdb.org/t/p/w500//1QvG7MbfeWxb4LlZrlR4OtwvB8v.jpg,8
285,2441,Tom Hollander,Lord Cutler Beckett,https://image.tmdb.org/t/p/w500//fs5EyDuxcE1s3hFijTSnVhpwYPO.jpg,9
285,2038,Naomie Harris,Tia Dalma,https://image.tmdb.org/t/p/w500//41TVAcYqKKF7PGf3x7QfaLvkLSW.jpg,10
285,378,Jonathan Pryce,Governor Weatherby Swann,https://image.tmdb.org/t/p/w500//zwSv5uXzPTtmitFe39UdqnVwmdL.jpg,11
285,1430,Keith Richards,Captain Teague Sparrow,https://image.tmdb.org/t/p/w500//t1oa5UsJMmrhNqCIks4jQnAYSQT.jpg,12
285,1710,Lee Arenberg,Pintel,https://image.tmdb.org/t/p/w500//sjv8tdXzLwC8lZi6Ou6i6z5RbrW.jpg,13
285,1711,Mackenzie Crook,Ragetti,https://image.tmdb.org/t/p/w500//r17GbBnCjJjwUaRM3KY2e8GBjbG.jpg,14
285,4031,Greg Ellis,Lieutenant Theodore Groves,https://image.tmdb.org/t/p/w500//4vqx2I8ulOPcouOFmOM0UTD3tzj.jpg,15
285,1715,David Bailie,Cotton,https://image.tmdb.org/t/p/w500//k2UbrUPJMTZOHIw8Z9V3hutQRAe.jpg,16
285,4030,Martin Klebba,Marty,https://image.tmdb.org/t/p/w500//schnhMaXtfv5EC7EJODTgMcfzPe.jpg,17
285,939,David Schofield,Ian Mercer,https://image.tmdb.org/t/p/w500//on5V05LXlkU2kiu4TjaDvpp0jBn.jpg,18
285,2450,Lauren Maher,Scarlett,https://image.tmdb.org/t/p/w500//udtzRPT5cf5wQSW7QT7UcnD79Os.jpg,19
285,2452,Vanessa Branch,Giselle,https://image.tmdb.org/t/p/w500//leVq44Yks0jtSGDE7vvhIqmgJAe.jpg,20
285,1714,Angus Barnett,Mullroy,https://image.tmdb.org/t/p/w500//jq30ZKBPyiQT128nV5PdjgVXtzH.jpg,21
285,1713,Giles New,Murtogg,https://image.tmdb.org/t/p/w500//e0Ap9fkLAFcxLVHpK8KH2TQV3wI.jpg,22
285,22075,Reggie Lee,Tai Huang,https://image.tmdb.org/t/p/w500//93my9HnsFT5DFq9oY1nCJ8Ttv22.jpg,23
285,61259,Dominic Scott Kay,Henry Turner,https://image.tmdb.org/t/p/w500//uPg5MQ6QhPKI8SrHclMLWYpmf76.jpg,24
285,33500,Takayo Fischer,Mistress Ching,https://image.tmdb.org/t/p/w500//xP8pWrxEOzRTzQzJTTAG4We0KxE.jpg,25
285,1224149,David Meunier,Lieutenant Greitzer,https://image.tmdb.org/t/p/w500//8gLRTQxeTUVtgGGb302f80peoMq.jpg,26
285,429401,Ho-Kwan Tse,Hadras,https://image.tmdb.org/t/p/w500//amz22nCvRXbSnrEF38PrzIK2598.jpg,27
285,1123,Andy Beckwith,Clacker,https://image.tmdb.org/t/p/w500//9fL7P2yETzD74Yli7IEpP14RJlG.jpg,28
285,1056117,Peter Donald Badalamenti II,Penrod,https://image.tmdb.org/t/p/w500//hvLW1m2vQJTraIkrOmVYiKk93hk.jpg,29
285,21700,Christopher S. Capp,Cotton's Parrot (voice),,30
285,1430,Keith Richards,Captain Teague,https://image.tmdb.org/t/p/w500//t1oa5UsJMmrhNqCIks4jQnAYSQT.jpg,31
285,2603,Hakeem Kae-Kazim,Captain Jocard,https://image.tmdb.org/t/p/w500//sVNHRm51c9toG73FUQ5k1St0vju.jpg,32
285,70577,Ghassan Massoud,Captain Ammand,https://image.tmdb.org/t/p/w500//808eyM5k6l9LH1aZO44ybtsaLhn.jpg,33
206647,8784,Daniel Craig,James Bond,https://image.tmdb.org/t/p/w500//iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg,0
206647,27319,Christoph Waltz,Blofeld,https://image.tmdb.org/t/p/w500//jMvLGCVXLaBqjRLf5olyvEucZob.jpg,1
